Name,City,State
Diocese of Allentown,Allentown,PA
Diocese of Altoona–Johnstown,Altoona,PA
Diocese of Erie,Erie,PA
Diocese of Greensburg,Greensburg,PA
Diocese of Harrisburg,Harrisburg,PA
Diocese of Pittsburgh,Pittsburgh,PA
Diocese of Scranton,Scranton,PA
Archdiocese of San Juan,San Juan,PR
Diocese of Arecibo,Arecibo,PR
Diocese of Caguas,Caguas,PR
Diocese of Fajardo–Humacao,Humacao,PR
Diocese of Mayagüez,Mayagüez,PR
Diocese of Ponce,Ponce,PR
Diocese of Providence,Providence,RI
Diocese of Charleston,Charleston,SC
Diocese of Rapid City,Rapid City,SD
Diocese of Sioux Falls,Sioux Falls,SD
Diocese of Knoxville,Knoxville,TN
Diocese of Memphis,Memphis,TN
Diocese of Nashville,Nashville,TN
Archdiocese of Galveston–Houston,Houston,TX
Archdiocese of San Antonio,San Antonio,TX
Diocese of Amarillo,Amarillo,TX
Diocese of Austin,Austin,TX
Diocese of Beaumont,Beaumont,TX
Diocese of Brownsville,Brownsville,TX
Diocese of Corpus Christi,Corpus Christi,TX
Diocese of Dallas,Dallas,TX
Diocese of El Paso,El Paso,TX
Diocese of Fort Worth,Fort Worth,TX
Diocese of Laredo,Laredo,TX
Diocese of Lubbock,Lubbock,TX
Diocese of San Angelo,San Angelo,TX
Diocese of Tyler,Tyler,TX
Diocese of Victoria,Victoria,TX
Diocese of Salt Lake City,Salt Lake City,UT
Diocese of Arlington,Arlington,VA
Diocese of Richmond,Richmond,VA
Diocese of Saint Thomas,Charlotte Amalie,VI
Diocese of Burlington,Burlington,VT
Archdiocese of Seattle,Seattle,WA
Diocese of Spokane,Spokane,WA
Diocese of Yakima,Yakima,WA
Archdiocese of Milwaukee,Milwaukee,WI
Diocese of Green Bay,Green Bay,WI
Diocese of La Crosse,La Crosse,WI
Diocese of Madison,Madison,WI
Diocese of Superior,Superior,WI
Diocese of Wheeling–Charleston,Wheeling,WV
Diocese of Cheyenne,Cheyenne,WY
