State,Place,Diocese,DioceseState
AK,adak,Archdiocese of Anchorage–Juneau,AK
AK,akiachak,Diocese of Fairbanks,AK
AK,akiak,Diocese of Fairbanks,AK
AK,akutan,Archdiocese of Anchorage–Juneau,AK
AK,alakanuk,Diocese of Fairbanks,AK
AK,anaktuvuk pass,Diocese of Fairbanks,AK
AK,anchor point,Archdiocese of Anchorage–Juneau,AK
AK,anchorage,Archdiocese of Anchorage–Juneau,AK
AK,angoon,Archdiocese of Anchorage–Juneau,AK
AK,aniak,Diocese of Fairbanks,AK
AK,badger,Diocese of Fairbanks,AK
AK,bear creek,Archdiocese of Anchorage–Juneau,AK
AK,bethel,Diocese of Fairbanks,AK
AK,big delta,Diocese of Fairbanks,AK
AK,big lake,Archdiocese of Anchorage–Juneau,AK
AK,brevig mission,Diocese of Fairbanks,AK
AK,buckland,Diocese of Fairbanks,AK
AK,buffalo soapstone,Archdiocese of Anchorage–Juneau,AK
AK,butte,Archdiocese of Anchorage–Juneau,AK
AK,chefornak,Diocese of Fairbanks,AK
AK,chevak,Diocese of Fairbanks,AK
AK,cohoe,Archdiocese of Anchorage–Juneau,AK
AK,college,Diocese of Fairbanks,AK
AK,copper center,Archdiocese of Anchorage–Juneau,AK
AK,cordova,Archdiocese of Anchorage–Juneau,AK
AK,craig,Archdiocese of Anchorage–Juneau,AK
AK,delta junction,Diocese of Fairbanks,AK
AK,deltana,Diocese of Fairbanks,AK
AK,diamond ridge,Archdiocese of Anchorage–Juneau,AK
AK,dillingham,Archdiocese of Anchorage–Juneau,AK
AK,dutch harbor,Archdiocese of Anchorage–Juneau,AK
AK,eagle river,Archdiocese of Anchorage–Juneau,AK
AK,eek,Diocese of Fairbanks,AK
AK,eielson air force base,Diocese of Fairbanks,AK
AK,elim,Diocese of Fairbanks,AK
AK,elmendorf air force base,Archdiocese of Anchorage–Juneau,AK
AK,emmonak,Diocese of Fairbanks,AK
AK,ester,Diocese of Fairbanks,AK
AK,fairbanks,Diocese of Fairbanks,AK
AK,farm loop,Archdiocese of Anchorage–Juneau,AK
AK,farmers loop,Diocese of Fairbanks,AK
AK,fishhook,Archdiocese of Anchorage–Juneau,AK
AK,fort greely,Diocese of Fairbanks,AK
AK,fort yukon,Diocese of Fairbanks,AK
AK,fox,Diocese of Fairbanks,AK
AK,fox river,Archdiocese of Anchorage–Juneau,AK
AK,fritz creek,Archdiocese of Anchorage–Juneau,AK
AK,funny river,Archdiocese of Anchorage–Juneau,AK
AK,galena,Diocese of Fairbanks,AK
AK,gambell,Diocese of Fairbanks,AK
AK,gateway,Archdiocese of Anchorage–Juneau,AK
AK,girdwood,Archdiocese of Anchorage–Juneau,AK
AK,glennallen,Archdiocese of Anchorage–Juneau,AK
AK,gustavus,Archdiocese of Anchorage–Juneau,AK
AK,haines,Archdiocese of Anchorage–Juneau,AK
AK,happy valley,Archdiocese of Anchorage–Juneau,AK
AK,healy,Diocese of Fairbanks,AK
AK,homer,Archdiocese of Anchorage–Juneau,AK
AK,hoonah,Archdiocese of Anchorage–Juneau,AK
AK,hooper bay,Diocese of Fairbanks,AK
AK,houston,Archdiocese of Anchorage–Juneau,AK
AK,hydaburg,Archdiocese of Anchorage–Juneau,AK
AK,juneau,Archdiocese of Anchorage–Juneau,AK
AK,kachemak,Archdiocese of Anchorage–Juneau,AK
AK,kachemak city,Archdiocese of Anchorage–Juneau,AK
AK,kake,Archdiocese of Anchorage–Juneau,AK
AK,kalifornsky,Archdiocese of Anchorage–Juneau,AK
AK,kasigluk,Diocese of Fairbanks,AK
AK,kasilof,Archdiocese of Anchorage–Juneau,AK
AK,kenai,Archdiocese of Anchorage–Juneau,AK
AK,kenny lake,Archdiocese of Anchorage–Juneau,AK
AK,ketchikan,Archdiocese of Anchorage–Juneau,AK
AK,kiana,Diocese of Fairbanks,AK
AK,king cove,Archdiocese of Anchorage–Juneau,AK
AK,king salmon,Archdiocese of Anchorage–Juneau,AK
AK,kipnuk,Diocese of Fairbanks,AK
AK,kivalina,Diocese of Fairbanks,AK
AK,klawock,Archdiocese of Anchorage–Juneau,AK
AK,knik river,Archdiocese of Anchorage–Juneau,AK
AK,knikfairview,Archdiocese of Anchorage–Juneau,AK
AK,kodiak,Archdiocese of Anchorage–Juneau,AK
AK,kodiak station,Archdiocese of Anchorage–Juneau,AK
AK,kongiganak,Diocese of Fairbanks,AK
AK,kotlik,Diocese of Fairbanks,AK
AK,kotzebue,Diocese of Fairbanks,AK
AK,koyuk,Diocese of Fairbanks,AK
AK,kwethluk,Diocese of Fairbanks,AK
AK,kwigillingok,Diocese of Fairbanks,AK
AK,lakes,Archdiocese of Anchorage–Juneau,AK
AK,lazy mountain,Archdiocese of Anchorage–Juneau,AK
AK,manokotak,Archdiocese of Anchorage–Juneau,AK
AK,marshall,Diocese of Fairbanks,AK
AK,mcgrath,Diocese of Fairbanks,AK
AK,meadow lakes,Archdiocese of Anchorage–Juneau,AK
AK,metlakatla,Archdiocese of Anchorage–Juneau,AK
AK,moose creek,Diocese of Fairbanks,AK
AK,mosquito lake,Archdiocese of Anchorage–Juneau,AK
AK,mountain village,Diocese of Fairbanks,AK
AK,naknek,Archdiocese of Anchorage–Juneau,AK
AK,napakiak,Diocese of Fairbanks,AK
AK,napaskiak,Diocese of Fairbanks,AK
AK,nenana,Diocese of Fairbanks,AK
AK,new stuyahok,Archdiocese of Anchorage–Juneau,AK
AK,newtok,Diocese of Fairbanks,AK
AK,nikiski,Archdiocese of Anchorage–Juneau,AK
AK,nikolaevsk,Archdiocese of Anchorage–Juneau,AK
AK,ninilchik,Archdiocese of Anchorage–Juneau,AK
AK,noatak,Diocese of Fairbanks,AK
AK,nome,Diocese of Fairbanks,AK
AK,noorvik,Diocese of Fairbanks,AK
AK,north pole,Diocese of Fairbanks,AK
AK,nuiqsut,Diocese of Fairbanks,AK
AK,nunapitchuk,Diocese of Fairbanks,AK
AK,palmer,Archdiocese of Anchorage–Juneau,AK
AK,petersburg,Archdiocese of Anchorage–Juneau,AK
AK,pilot station,Diocese of Fairbanks,AK
AK,pleasant valley,Diocese of Fairbanks,AK
AK,point hope,Diocese of Fairbanks,AK
AK,point mackenzie,Archdiocese of Anchorage–Juneau,AK
AK,prudhoe bay,Diocese of Fairbanks,AK
AK,quinhagak,Diocese of Fairbanks,AK
AK,ridgeway,Archdiocese of Anchorage–Juneau,AK
AK,russian mission,Diocese of Fairbanks,AK
AK,salamatof,Archdiocese of Anchorage–Juneau,AK
AK,salcha,Diocese of Fairbanks,AK
AK,sand point,Archdiocese of Anchorage–Juneau,AK
AK,savoonga,Diocese of Fairbanks,AK
AK,saxman,Archdiocese of Anchorage–Juneau,AK
AK,scammon bay,Diocese of Fairbanks,AK
AK,selawik,Diocese of Fairbanks,AK
AK,seward,Archdiocese of Anchorage–Juneau,AK
AK,shishmaref,Diocese of Fairbanks,AK
AK,sitka,Archdiocese of Anchorage–Juneau,AK
AK,skagway,Archdiocese of Anchorage–Juneau,AK
AK,soldotna,Archdiocese of Anchorage–Juneau,AK
AK,south van horn,Diocese of Fairbanks,AK
AK,st marys,Diocese of Fairbanks,AK
AK,st michael,Diocese of Fairbanks,AK
AK,st paul,Archdiocese of Anchorage–Juneau,AK
AK,stebbins,Diocese of Fairbanks,AK
AK,sterling,Archdiocese of Anchorage–Juneau,AK
AK,susitna north,Archdiocese of Anchorage–Juneau,AK
AK,suttonalpine,Archdiocese of Anchorage–Juneau,AK
AK,talkeetna,Archdiocese of Anchorage–Juneau,AK
AK,tanaina,Archdiocese of Anchorage–Juneau,AK
AK,thorne bay,Archdiocese of Anchorage–Juneau,AK
AK,togiak,Archdiocese of Anchorage–Juneau,AK
AK,tok,Diocese of Fairbanks,AK
AK,toksook bay,Diocese of Fairbanks,AK
AK,trapper creek,Archdiocese of Anchorage–Juneau,AK
AK,tuluksak,Diocese of Fairbanks,AK
AK,tuntutuliak,Diocese of Fairbanks,AK
AK,tununak,Diocese of Fairbanks,AK
AK,two rivers,Diocese of Fairbanks,AK
AK,unalakleet,Diocese of Fairbanks,AK
AK,unalaska,Archdiocese of Anchorage–Juneau,AK
AK,utqiagvik,Diocese of Fairbanks,AK
AK,valdez,Archdiocese of Anchorage–Juneau,AK
AK,wainwright,Diocese of Fairbanks,AK
AK,wasilla,Archdiocese of Anchorage–Juneau,AK
AK,willow,Archdiocese of Anchorage–Juneau,AK
AK,womens bay,Archdiocese of Anchorage–Juneau,AK
AK,wrangell,Archdiocese of Anchorage–Juneau,AK
AK,yakutat,Archdiocese of Anchorage–Juneau,AK
AL,abbeville,Archdiocese of Mobile,AL
AL,adamsville,Diocese of Birmingham,AL
AL,addison,Diocese of Birmingham,AL
AL,akron,Diocese of Birmingham,AL
AL,alabaster,Diocese of Birmingham,AL
AL,albertville,Diocese of Birmingham,AL
AL,alexander city,Diocese of Birmingham,AL
AL,alexandria,Diocese of Birmingham,AL
AL,aliceville,Diocese of Birmingham,AL
AL,allgood,Diocese of Birmingham,AL
AL,altoona,Diocese of Birmingham,AL
AL,andalusia,Archdiocese of Mobile,AL
AL,anderson,Diocese of Birmingham,AL
AL,anniston,Diocese of Birmingham,AL
AL,arab,Diocese of Birmingham,AL
AL,argo,Diocese of Birmingham,AL
AL,ariton,Archdiocese of Mobile,AL
AL,arley,Diocese of Birmingham,AL
AL,ashford,Archdiocese of Mobile,AL
AL,ashland,Diocese of Birmingham,AL
AL,ashville,Diocese of Birmingham,AL
AL,athens,Diocese of Birmingham,AL
AL,atmore,Archdiocese of Mobile,AL
AL,attalla,Diocese of Birmingham,AL
AL,auburn,Archdiocese of Mobile,AL
AL,autaugaville,Archdiocese of Mobile,AL
AL,avon,Archdiocese of Mobile,AL
AL,axis,Archdiocese of Mobile,AL
AL,babbie,Archdiocese of Mobile,AL
AL,baileyton,Diocese of Birmingham,AL
AL,ballplay,Diocese of Birmingham,AL
AL,bay minette,Archdiocese of Mobile,AL
AL,bayou la batre,Archdiocese of Mobile,AL
AL,bear creek,Diocese of Birmingham,AL
AL,bellamy,Diocese of Birmingham,AL
AL,bellefontaine,Archdiocese of Mobile,AL
AL,berry,Diocese of Birmingham,AL
AL,bessemer,Diocese of Birmingham,AL
AL,birmingham,Diocese of Birmingham,AL
AL,blountsville,Diocese of Birmingham,AL
AL,blue ridge,Archdiocese of Mobile,AL
AL,boaz,Diocese of Birmingham,AL
AL,boligee,Diocese of Birmingham,AL
AL,branchville,Diocese of Birmingham,AL
AL,brantley,Archdiocese of Mobile,AL
AL,brantleyville,Diocese of Birmingham,AL
AL,brent,Diocese of Birmingham,AL
AL,brewton,Archdiocese of Mobile,AL
AL,bridgeport,Diocese of Birmingham,AL
AL,brighton,Diocese of Birmingham,AL
AL,brilliant,Diocese of Birmingham,AL
AL,brook highland,Diocese of Birmingham,AL
AL,brookside,Diocese of Birmingham,AL
AL,brookwood,Diocese of Birmingham,AL
AL,brundidge,Archdiocese of Mobile,AL
AL,butler,Archdiocese of Mobile,AL
AL,bynum,Diocese of Birmingham,AL
AL,cahaba heights,Diocese of Birmingham,AL
AL,calera,Diocese of Birmingham,AL
AL,camden,Archdiocese of Mobile,AL
AL,camp hill,Diocese of Birmingham,AL
AL,carbon hill,Diocese of Birmingham,AL
AL,carlislerockledge,Diocese of Birmingham,AL
AL,carrollton,Diocese of Birmingham,AL
AL,castleberry,Archdiocese of Mobile,AL
AL,cedar bluff,Diocese of Birmingham,AL
AL,center point,Diocese of Birmingham,AL
AL,centre,Diocese of Birmingham,AL
AL,centreville,Diocese of Birmingham,AL
AL,chalkville,Diocese of Birmingham,AL
AL,chatom,Archdiocese of Mobile,AL
AL,chelsea,Diocese of Birmingham,AL
AL,cherokee,Diocese of Birmingham,AL
AL,chickasaw,Archdiocese of Mobile,AL
AL,childersburg,Diocese of Birmingham,AL
AL,choccolocco,Diocese of Birmingham,AL
AL,citronelle,Archdiocese of Mobile,AL
AL,clanton,Diocese of Birmingham,AL
AL,clay,Diocese of Birmingham,AL
AL,clayhatchee,Archdiocese of Mobile,AL
AL,clayton,Archdiocese of Mobile,AL
AL,cleveland,Diocese of Birmingham,AL
AL,clio,Archdiocese of Mobile,AL
AL,coaling,Diocese of Birmingham,AL
AL,coffeeville,Archdiocese of Mobile,AL
AL,coker,Diocese of Birmingham,AL
AL,collinsville,Diocese of Birmingham,AL
AL,colony,Diocese of Birmingham,AL
AL,columbia,Archdiocese of Mobile,AL
AL,columbiana,Diocese of Birmingham,AL
AL,concord,Diocese of Birmingham,AL
AL,coosada,Archdiocese of Mobile,AL
AL,cordova,Diocese of Birmingham,AL
AL,cottonwood,Archdiocese of Mobile,AL
AL,courtland,Diocese of Birmingham,AL
AL,cowarts,Archdiocese of Mobile,AL
AL,creola,Archdiocese of Mobile,AL
AL,crossville,Diocese of Birmingham,AL
AL,cuba,Diocese of Birmingham,AL
AL,cullman,Diocese of Birmingham,AL
AL,dadeville,Diocese of Birmingham,AL
AL,daleville,Archdiocese of Mobile,AL
AL,danville,Diocese of Birmingham,AL
AL,daphne,Archdiocese of Mobile,AL
AL,dauphin island,Archdiocese of Mobile,AL
AL,deatsville,Archdiocese of Mobile,AL
AL,decatur,Diocese of Birmingham,AL
AL,demopolis,Diocese of Birmingham,AL
AL,dixiana,Diocese of Birmingham,AL
AL,dodge city,Diocese of Birmingham,AL
AL,dora,Diocese of Birmingham,AL
AL,dothan,Archdiocese of Mobile,AL
AL,double springs,Diocese of Birmingham,AL
AL,douglas,Diocese of Birmingham,AL
AL,dozier,Archdiocese of Mobile,AL
AL,dunnavant,Diocese of Birmingham,AL
AL,dutton,Diocese of Birmingham,AL
AL,east brewton,Archdiocese of Mobile,AL
AL,east florence,Diocese of Birmingham,AL
AL,eclectic,Archdiocese of Mobile,AL
AL,edgewater,Diocese of Birmingham,AL
AL,egypt,Diocese of Birmingham,AL
AL,elba,Archdiocese of Mobile,AL
AL,elberta,Archdiocese of Mobile,AL
AL,elkmont,Diocese of Birmingham,AL
AL,elmore,Archdiocese of Mobile,AL
AL,emerald mountain,Archdiocese of Mobile,AL
AL,enterprise,Archdiocese of Mobile,AL
AL,eufaula,Archdiocese of Mobile,AL
AL,eutaw,Diocese of Birmingham,AL
AL,eva,Diocese of Birmingham,AL
AL,evergreen,Archdiocese of Mobile,AL
AL,excel,Archdiocese of Mobile,AL
AL,fairfield,Diocese of Birmingham,AL
AL,fairhope,Archdiocese of Mobile,AL
AL,fairview,Diocese of Birmingham,AL
AL,falkville,Diocese of Birmingham,AL
AL,fayette,Diocese of Birmingham,AL
AL,fayetteville,Diocese of Birmingham,AL
AL,flint city,Diocese of Birmingham,AL
AL,flomaton,Archdiocese of Mobile,AL
AL,florala,Archdiocese of Mobile,AL
AL,florence,Diocese of Birmingham,AL
AL,foley,Archdiocese of Mobile,AL
AL,forestdale,Diocese of Birmingham,AL
AL,forkland,Diocese of Birmingham,AL
AL,fort deposit,Archdiocese of Mobile,AL
AL,fort novosel,Archdiocese of Mobile,AL
AL,fort payne,Diocese of Birmingham,AL
AL,frisco city,Archdiocese of Mobile,AL
AL,fultondale,Diocese of Birmingham,AL
AL,fyffe,Diocese of Birmingham,AL
AL,gadsden,Diocese of Birmingham,AL
AL,gallant,Diocese of Birmingham,AL
AL,garden city,Diocese of Birmingham,AL
AL,gardendale,Diocese of Birmingham,AL
AL,geneva,Archdiocese of Mobile,AL
AL,georgiana,Archdiocese of Mobile,AL
AL,geraldine,Diocese of Birmingham,AL
AL,glen allen,Diocese of Birmingham,AL
AL,glencoe,Diocese of Birmingham,AL
AL,good hope,Diocese of Birmingham,AL
AL,goodwater,Diocese of Birmingham,AL
AL,gordo,Diocese of Birmingham,AL
AL,gordon,Archdiocese of Mobile,AL
AL,gordonville,Archdiocese of Mobile,AL
AL,grand bay,Archdiocese of Mobile,AL
AL,grant,Diocese of Birmingham,AL
AL,grayson valley,Diocese of Birmingham,AL
AL,graysville,Diocese of Birmingham,AL
AL,greensboro,Diocese of Birmingham,AL
AL,greenville,Archdiocese of Mobile,AL
AL,grove hill,Archdiocese of Mobile,AL
AL,guin,Diocese of Birmingham,AL
AL,gulf shores,Archdiocese of Mobile,AL
AL,guntersville,Diocese of Birmingham,AL
AL,gurley,Diocese of Birmingham,AL
AL,hackleburg,Diocese of Birmingham,AL
AL,hackneyville,Diocese of Birmingham,AL
AL,haleyville,Diocese of Birmingham,AL
AL,hamilton,Diocese of Birmingham,AL
AL,hammondville,Diocese of Birmingham,AL
AL,hanceville,Diocese of Birmingham,AL
AL,harpersville,Diocese of Birmingham,AL
AL,hartford,Archdiocese of Mobile,AL
AL,hartselle,Diocese of Birmingham,AL
AL,harvest,Diocese of Birmingham,AL
AL,hayden,Diocese of Birmingham,AL
AL,hayneville,Archdiocese of Mobile,AL
AL,hazel green,Diocese of Birmingham,AL
AL,headland,Archdiocese of Mobile,AL
AL,heflin,Diocese of Birmingham,AL
AL,helena,Diocese of Birmingham,AL
AL,henagar,Diocese of Birmingham,AL
AL,highland lake,Diocese of Birmingham,AL
AL,highland lakes,Diocese of Birmingham,AL
AL,hillsboro,Diocese of Birmingham,AL
AL,hissop,Diocese of Birmingham,AL
AL,hobson city,Diocese of Birmingham,AL
AL,hokes bluff,Diocese of Birmingham,AL
AL,hollins,Diocese of Birmingham,AL
AL,hollis crossroads,Diocese of Birmingham,AL
AL,holly pond,Diocese of Birmingham,AL
AL,hollywood,Diocese of Birmingham,AL
AL,holt,Diocese of Birmingham,AL
AL,holtville,Archdiocese of Mobile,AL
AL,homewood,Diocese of Birmingham,AL
AL,hoover,Diocese of Birmingham,AL
AL,horton,Diocese of Birmingham,AL
AL,hueytown,Diocese of Birmingham,AL
AL,huguley,Diocese of Birmingham,AL
AL,huntsville,Diocese of Birmingham,AL
AL,hurtsboro,Archdiocese of Mobile,AL
AL,hytop,Diocese of Birmingham,AL
AL,ider,Diocese of Birmingham,AL
AL,indian springs village,Diocese of Birmingham,AL
AL,inverness,Archdiocese of Mobile,AL
AL,irondale,Diocese of Birmingham,AL
AL,ivalee,Diocese of Birmingham,AL
AL,jack,Archdiocese of Mobile,AL
AL,jackson,Archdiocese of Mobile,AL
AL,jacksons gap,Diocese of Birmingham,AL
AL,jacksonville,Diocese of Birmingham,AL
AL,jasper,Diocese of Birmingham,AL
AL,jemison,Diocese of Birmingham,AL
AL,joppa,Diocese of Birmingham,AL
AL,joquin,Archdiocese of Mobile,AL
AL,kennedy,Diocese of Birmingham,AL
AL,killen,Diocese of Birmingham,AL
AL,kimberly,Diocese of Birmingham,AL
AL,kinsey,Archdiocese of Mobile,AL
AL,kinston,Archdiocese of Mobile,AL
AL,ladonia,Archdiocese of Mobile,AL
AL,lafayette,Diocese of Birmingham,AL
AL,lake purdy,Diocese of Birmingham,AL
AL,lake view,Diocese of Birmingham,AL
AL,lanett,Diocese of Birmingham,AL
AL,leeds,Diocese of Birmingham,AL
AL,leesburg,Diocese of Birmingham,AL
AL,leighton,Diocese of Birmingham,AL
AL,leroy,Archdiocese of Mobile,AL
AL,level plains,Archdiocese of Mobile,AL
AL,lexington,Diocese of Birmingham,AL
AL,lillian,Archdiocese of Mobile,AL
AL,lincoln,Diocese of Birmingham,AL
AL,linden,Diocese of Birmingham,AL
AL,lineville,Diocese of Birmingham,AL
AL,lipscomb,Diocese of Birmingham,AL
AL,lisman,Archdiocese of Mobile,AL
AL,littleville,Diocese of Birmingham,AL
AL,livingston,Diocese of Birmingham,AL
AL,lockhart,Archdiocese of Mobile,AL
AL,locust fork,Diocese of Birmingham,AL
AL,louisville,Archdiocese of Mobile,AL
AL,loxley,Archdiocese of Mobile,AL
AL,luverne,Archdiocese of Mobile,AL
AL,lynn,Diocese of Birmingham,AL
AL,madison,Diocese of Birmingham,AL
AL,madrid,Archdiocese of Mobile,AL
AL,magnolia springs,Archdiocese of Mobile,AL
AL,malvern,Archdiocese of Mobile,AL
AL,maplesville,Diocese of Birmingham,AL
AL,marbury,Archdiocese of Mobile,AL
AL,margaret,Diocese of Birmingham,AL
AL,marion,Diocese of Birmingham,AL
AL,mathews,Archdiocese of Mobile,AL
AL,maytown,Diocese of Birmingham,AL
AL,mcdonald chapel,Diocese of Birmingham,AL
AL,mckenzie,Archdiocese of Mobile,AL
AL,meadowbrook,Diocese of Birmingham,AL
AL,mentone,Diocese of Birmingham,AL
AL,meridianville,Diocese of Birmingham,AL
AL,midfield,Diocese of Birmingham,AL
AL,midland city,Archdiocese of Mobile,AL
AL,midway,Archdiocese of Mobile,AL
AL,millbrook,Archdiocese of Mobile,AL
AL,millport,Diocese of Birmingham,AL
AL,millry,Archdiocese of Mobile,AL
AL,minor,Diocese of Birmingham,AL
AL,mobile,Archdiocese of Mobile,AL
AL,monroeville,Archdiocese of Mobile,AL
AL,montevallo,Diocese of Birmingham,AL
AL,montgomery,Archdiocese of Mobile,AL
AL,moody,Diocese of Birmingham,AL
AL,moores mill,Diocese of Birmingham,AL
AL,morris,Diocese of Birmingham,AL
AL,mosses,Archdiocese of Mobile,AL
AL,moulton,Diocese of Birmingham,AL
AL,moundville,Diocese of Birmingham,AL
AL,mount olive,Diocese of Birmingham,AL
AL,mountain brook,Diocese of Birmingham,AL
AL,mountainboro,Diocese of Birmingham,AL
AL,movico,Archdiocese of Mobile,AL
AL,mulga,Diocese of Birmingham,AL
AL,munford,Diocese of Birmingham,AL
AL,muscle shoals,Diocese of Birmingham,AL
AL,nances creek,Diocese of Birmingham,AL
AL,napier field,Archdiocese of Mobile,AL
AL,nectar,Diocese of Birmingham,AL
AL,new brockton,Archdiocese of Mobile,AL
AL,new hope,Diocese of Birmingham,AL
AL,new market,Diocese of Birmingham,AL
AL,new site,Diocese of Birmingham,AL
AL,newton,Archdiocese of Mobile,AL
AL,newville,Archdiocese of Mobile,AL
AL,north bibb,Diocese of Birmingham,AL
AL,north courtland,Diocese of Birmingham,AL
AL,northport,Diocese of Birmingham,AL
AL,notasulga,Archdiocese of Mobile,AL
AL,oak grove,Diocese of Birmingham,AL
AL,oakman,Diocese of Birmingham,AL
AL,odenville,Diocese of Birmingham,AL
AL,ohatchee,Diocese of Birmingham,AL
AL,oneonta,Diocese of Birmingham,AL
AL,opelika,Archdiocese of Mobile,AL
AL,opp,Archdiocese of Mobile,AL
AL,orange beach,Archdiocese of Mobile,AL
AL,our town,Diocese of Birmingham,AL
AL,owens cross roads,Diocese of Birmingham,AL
AL,oxford,Diocese of Birmingham,AL
AL,ozark,Archdiocese of Mobile,AL
AL,parrish,Diocese of Birmingham,AL
AL,pelham,Diocese of Birmingham,AL
AL,pell city,Diocese of Birmingham,AL
AL,perdido beach,Archdiocese of Mobile,AL
AL,phenix city,Archdiocese of Mobile,AL
AL,phil campbell,Diocese of Birmingham,AL
AL,pickensville,Diocese of Birmingham,AL
AL,piedmont,Diocese of Birmingham,AL
AL,pike road,Archdiocese of Mobile,AL
AL,pinckard,Archdiocese of Mobile,AL
AL,pine hill,Archdiocese of Mobile,AL
AL,pine level,Archdiocese of Mobile,AL
AL,pinson,Diocese of Birmingham,AL
AL,plateau,Archdiocese of Mobile,AL
AL,pleasant grove,Diocese of Birmingham,AL
AL,pleasant groves,Diocese of Birmingham,AL
AL,point clear,Archdiocese of Mobile,AL
AL,powell,Diocese of Birmingham,AL
AL,prattville,Archdiocese of Mobile,AL
AL,priceville,Diocese of Birmingham,AL
AL,prichard,Archdiocese of Mobile,AL
AL,ragland,Diocese of Birmingham,AL
AL,rainbow city,Diocese of Birmingham,AL
AL,rainsville,Diocese of Birmingham,AL
AL,ranburne,Diocese of Birmingham,AL
AL,ray,Diocese of Birmingham,AL
AL,red bay,Diocese of Birmingham,AL
AL,red level,Archdiocese of Mobile,AL
AL,redstone arsenal,Diocese of Birmingham,AL
AL,reece city,Diocese of Birmingham,AL
AL,reeltown,Diocese of Birmingham,AL
AL,reform,Diocese of Birmingham,AL
AL,rehobeth,Archdiocese of Mobile,AL
AL,river falls,Archdiocese of Mobile,AL
AL,riverside,Diocese of Birmingham,AL
AL,roanoke,Diocese of Birmingham,AL
AL,robertsdale,Archdiocese of Mobile,AL
AL,rock creek,Diocese of Birmingham,AL
AL,rock mills,Diocese of Birmingham,AL
AL,rockford,Diocese of Birmingham,AL
AL,rogersville,Diocese of Birmingham,AL
AL,rosa,Diocese of Birmingham,AL
AL,russellville,Diocese of Birmingham,AL
AL,rutledge,Archdiocese of Mobile,AL
AL,saks,Diocese of Birmingham,AL
AL,samson,Archdiocese of Mobile,AL
AL,sand rock,Diocese of Birmingham,AL
AL,saraland,Archdiocese of Mobile,AL
AL,sardis city,Diocese of Birmingham,AL
AL,satsuma,Archdiocese of Mobile,AL
AL,scottsboro,Diocese of Birmingham,AL
AL,section,Diocese of Birmingham,AL
AL,selma,Archdiocese of Mobile,AL
AL,selmontwest selmont,Archdiocese of Mobile,AL
AL,semmes,Archdiocese of Mobile,AL
AL,sheffield,Diocese of Birmingham,AL
AL,shelby,Diocese of Birmingham,AL
AL,shoal creek,Diocese of Birmingham,AL
AL,shorter,Archdiocese of Mobile,AL
AL,silas,Archdiocese of Mobile,AL
AL,silverhill,Archdiocese of Mobile,AL
AL,sipsey,Diocese of Birmingham,AL
AL,skyline,Diocese of Birmingham,AL
AL,slocomb,Archdiocese of Mobile,AL
AL,smiths station,Archdiocese of Mobile,AL
AL,smoke rise,Diocese of Birmingham,AL
AL,snead,Diocese of Birmingham,AL
AL,somerville,Diocese of Birmingham,AL
AL,south vinemont,Diocese of Birmingham,AL
AL,southside,Diocese of Birmingham,AL
AL,spanish fort,Archdiocese of Mobile,AL
AL,springville,Diocese of Birmingham,AL
AL,st florian,Diocese of Birmingham,AL
AL,st stephens,Archdiocese of Mobile,AL
AL,steele,Diocese of Birmingham,AL
AL,sterrett,Diocese of Birmingham,AL
AL,stevenson,Diocese of Birmingham,AL
AL,stewartville,Diocese of Birmingham,AL
AL,sulligent,Diocese of Birmingham,AL
AL,sumiton,Diocese of Birmingham,AL
AL,summerdale,Archdiocese of Mobile,AL
AL,susan moore,Diocese of Birmingham,AL
AL,sylacauga,Diocese of Birmingham,AL
AL,sylvan springs,Diocese of Birmingham,AL
AL,sylvania,Diocese of Birmingham,AL
AL,talladega,Diocese of Birmingham,AL
AL,tallassee,Archdiocese of Mobile,AL
AL,tarrant,Diocese of Birmingham,AL
AL,taylor,Archdiocese of Mobile,AL
AL,theodore,Archdiocese of Mobile,AL
AL,thomaston,Diocese of Birmingham,AL
AL,thomasville,Archdiocese of Mobile,AL
AL,thorsby,Diocese of Birmingham,AL
AL,tillmans corner,Archdiocese of Mobile,AL
AL,town creek,Diocese of Birmingham,AL
AL,trafford,Diocese of Birmingham,AL
AL,triana,Diocese of Birmingham,AL
AL,trinity,Diocese of Birmingham,AL
AL,troy,Archdiocese of Mobile,AL
AL,trussville,Diocese of Birmingham,AL
AL,tuscaloosa,Diocese of Birmingham,AL
AL,tuscumbia,Diocese of Birmingham,AL
AL,tuskegee,Archdiocese of Mobile,AL
AL,twin,Diocese of Birmingham,AL
AL,underwoodpetersville,Diocese of Birmingham,AL
AL,union springs,Archdiocese of Mobile,AL
AL,uniontown,Diocese of Birmingham,AL
AL,valley,Diocese of Birmingham,AL
AL,valley grande,Archdiocese of Mobile,AL
AL,valley head,Diocese of Birmingham,AL
AL,vance,Diocese of Birmingham,AL
AL,vandiver,Diocese of Birmingham,AL
AL,vernon,Diocese of Birmingham,AL
AL,vestavia hills,Diocese of Birmingham,AL
AL,vina,Diocese of Birmingham,AL
AL,vincent,Diocese of Birmingham,AL
AL,wadley,Diocese of Birmingham,AL
AL,walnut grove,Diocese of Birmingham,AL
AL,warrior,Diocese of Birmingham,AL
AL,weaver,Diocese of Birmingham,AL
AL,webb,Archdiocese of Mobile,AL
AL,wedowee,Diocese of Birmingham,AL
